harga,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_tanah,luas_bangunan,carport,pasokan_listrik,kab/kota,kecamatan,keamanan,taman,jarak_rs_terdekat,jarak_sekolah_terdekat,jarak_tol_terdekat
19000000000,7.0,4.0,633.0,400,3,10000.0,Jakarta Selatan,Pengadegan,Ada,Ada,0.9,1.9,1.9
3500000000,4.0,4.0,121.0,153,1,2200.0,Jakarta Selatan,Pengadegan,Tidak Ada,Ada,1.0,1.8,1.8
67000000000,5.0,6.0,2550.0,1107,8,7700.0,Jakarta Selatan,Cikoko,Ada,Ada,0.8,2.0,2.0
13300000000,4.0,2.0,706.0,708,5,4400.0,Jakarta Selatan,Rawajati,Tidak Ada,Ada,1.2,2.0,2.0
5500000000,3.0,2.0,150.0,200,5,8800.0,Jakarta Selatan,Kalibata,Ada,Ada,0.5,2.3,2.3
1900000000,4.0,3.0,180.0,220,1,2200.0,Jakarta Selatan,Kalibata,Ada,Tidak Ada,1.5,2.4,2.4
3900000000,5.0,5.0,400.0,450,1,2000.0,Jakarta Selatan,Cikoko,Ada,Tidak Ada,2.0,1.9,1.9
5250000000,3.0,3.0,200.0,250,3,3300.0,Jakarta Selatan,Rawajati,Tidak Ada,Ada,1.7,1.8,1.8
3700000000,4.0,4.0,300.0,350,2,4200.0,Jakarta Selatan,Cikoko,Tidak Ada,Ada,2.1,1.0,1.0
15000000000,5.0,5.0,350.0,400,5,10000.0,Jakarta Selatan,Pengadegan,Tidak Ada,Ada,1.0,2.3,2.3
7500000000,6.0,6.0,800.0,700,2,3400.0,Jakarta Selatan,Rawajati,Tidak Ada,Tidak Ada,1.9,2.0,2.0
1350000000,2.0,3.0,500.0,450,0,2700.0,Jakarta Selatan,Cikoko,Tidak Ada,Tidak Ada,2.0,2.1,2.1
23000000000,3.0,2.0,160.0,200,3,9000.0,Jakarta Selatan,Kalibata,Ada,Tidak Ada,2.1,1.7,1.7
3500000000,4.0,3.0,250.0,300,1,3500.0,Jakarta Selatan,Pengadegan,Tidak Ada,Tidak Ada,2.1,1.8,1.8
6700000000,5.0,4.0,300.0,350,3,2200.0,Jakarta Selatan,Rawajati,Ada,Tidak Ada,1.8,2.0,2.0
10900000000,4.0,3.0,220.0,280,2,3500.0,Jakarta Selatan,Pengadegan,Tidak Ada,Tidak Ada,1.7,2.0,2.0
5500000000,4.0,3.0,270.0,320,3,5500.0,Jakarta Selatan,Rawajati,Tidak Ada,Tidak Ada,1.6,1.8,1.8
4950000000,3.0,2.0,340.0,230,2,5500.0,Jakarta Selatan,Cikoko,Tidak Ada,Tidak Ada,1.8,1.4,1.4
32000000000,4.0,3.0,220.0,270,10,12000.0,Jakarta Selatan,Duren tiga,Ada,Tidak Ada,1.4,2.2,2.2
1350000000,5.0,4.0,350.0,400,1,3500.0,Jakarta Selatan,Duren tiga,Tidak Ada,Ada,1.2,2.0,2.0
31000000000,5.0,4.0,400.0,450,5,7000.0,Jakarta Selatan,Kalibata,Ada,Tidak Ada,1.2,1.5,1.5
15000000000,4.0,3.0,200.0,250,8,10000.0,Jakarta Selatan,Cikoko,Ada,Tidak Ada,1.5,1.3,1.3
13500000000,4.0,3.0,210.0,260,2,7700.0,Jakarta Selatan,Rawajati,Tidak Ada,Tidak Ada,1.2,1.8,1.8
5200000000,5.0,4.0,350.0,400,2,4400.0,Jakarta Selatan,Pengadegan,Tidak Ada,Ada,2.0,1.7,1.7
3800000000,6.0,5.0,450.0,500,1,3500.0,Jakarta Selatan,Kalibata,Ada,Ada,2.1,1.5,1.5
9000000000,4.0,3.0,250.0,300,1,2200.0,Jakarta Selatan,Cikoko,Tidak Ada,Ada,1.5,2.0,2.0
9500000000,5.0,4.0,320.0,370,3,1300.0,Jakarta Selatan,Pancoran,Ada,Tidak Ada,2.0,1.4,1.4
2800000000,3.0,3.0,220.0,270,1,2400.0,Jakarta Selatan,Kalibata,Ada,Ada,2.0,2.1,2.1
5800000000,5.0,4.0,380.0,430,2,3500.0,Jakarta Selatan,Kalibata,Ada,Ada,1.9,2.0,2.0
820000000,4.0,3.0,300.0,350,1,2500.0,Jakarta Selatan,Pancoran,Ada,Ada,2.1,2.5,2.5
12500000000,3.0,2.0,200.0,240,4,7800.0,Jakarta Selatan,Cikoko,Tidak Ada,Ada,1.3,2.1,2.1
13000000000,4.0,3.0,270.0,320,3,1100.0,Jakarta Selatan,Cikoko,Tidak Ada,Ada,1.8,2.0,2.0
15500000000,6.0,4.0,400.0,450,5,16500.0,Jakarta Selatan,Rawajati,Tidak Ada,Tidak Ada,1.4,1.9,1.9
15500000000,5.0,4.0,540.0,400,2,4400.0,Jakarta Selatan,Duren tiga,Ada,Tidak Ada,2.0,1.7,1.7
13500000000,7.0,7.0,860.0,700,4,11000.0,Jakarta Selatan,Pengadegan,Ada,Tidak Ada,1.4,1.9,1.9
6500000000,4.0,2.0,340.0,400,1,10000.0,Jakarta Selatan,Kalibata,Tidak Ada,Tidak Ada,1.5,2.0,2.0
13000000000,6.0,9.0,800.0,900,2,4000.0,Jakarta Selatan,Pengadegan,Tidak Ada,Tidak Ada,2.0,2.0,2.0
18500000000,10.0,8.0,900.0,1100,3,5700.0,Jakarta Selatan,Kalibata,Ada,Tidak Ada,2.4,2.0,2.0
3990000000,3.0,3.0,450.0,520,1,4500.0,Jakarta Selatan,Kalibata,Tidak Ada,Tidak Ada,1.1,1.3,1.3
7000000000,5.0,3.0,590.0,540,3,4400.0,Jakarta Selatan,Duren tiga,Ada,Tidak Ada,1.2,1.1,1.1
4370000000,4.0,2.0,340.0,210,2,5500.0,Jakarta Selatan,Rawajati,Tidak Ada,Tidak Ada,2.0,1.9,1.9
9000000000,7.0,4.0,800.0,760,1,2200.0,Jakarta Selatan,Cikoko,Tidak Ada,Ada,1.4,2.0,2.0
27000000000,7.0,7.0,10000.0,900,3,10600.0,Jakarta Selatan,Kalibata,Ada,Ada,2.1,2.0,2.0
13500000000,5.0,6.0,760.0,820,3,5000.0,Jakarta Selatan,Cikoko,Ada,Tidak Ada,1.6,1.2,1.2
6800000000,4.0,2.0,300.0,430,2,3500.0,Jakarta Selatan,Pengadegan,Ada,Ada,2.3,2.3,2.3
14900000000,8.0,4.0,890.0,730,2,8000.0,Jakarta Selatan,Pengadegan,Ada,Ada,2.4,1.8,1.8
6600000000,3.0,3.0,560.0,640,2,4400.0,Jakarta Selatan,Duren tiga,Ada,Tidak Ada,2.0,2.0,2.0
2200000000,2.0,2.0,400.0,350,1,2500.0,Jakarta Selatan,Duren tiga,Tidak Ada,Ada,1.7,1.8,1.8
9750000000,6.0,4.0,450.0,300,3,2200.0,Jakarta Selatan,Rawajati,Tidak Ada,Ada,1.7,2.4,2.4
1300000000,3.0,2.0,65.0,90,1,2200.0,Jakarta Selatan,Pasar minggu,Ada,Ada,3.6,0.2,1.7
1060000000,3.0,2.0,40.0,50,1,2200.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Ada,3.0,1.8,1.0
5500000000,5.0,3.0,196.0,220,2,3500.0,Jakarta Selatan,Pasar minggu,Ada,Tidak Ada,1.5,1.4,1.9
1200000000,3.0,3.0,75.0,90,1,2200.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,3.6,2.9,1.3
2700000000,4.0,4.0,135.0,120,2,2200.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Ada,3.8,4.1,1.5
14500000000,6.0,4.0,895.0,420,4,5500.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Ada,1.1,1.6,3.3
4200000000,3.0,1.0,356.0,255,1,2200.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Ada,1.2,2.2,2.9
6500000000,4.0,3.0,366.0,200,2,4400.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,1.3,2.3,3.1
2800000000,5.0,3.0,119.0,200,1,3300.0,Jakarta Selatan,Pasar minggu,Ada,Ada,0.45,1.1,3.1
25000000000,4.0,3.0,990.0,600,2,6600.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Ada,3.0,0.65,2.3
3500000000,4.0,3.0,105.0,320,1,5500.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Ada,1.0,2.3,2.6
2000000000,4.0,3.0,90.0,120,2,2200.0,Jakarta Selatan,Pasar minggu,Ada,Ada,1.8,1.6,3.5
6000000000,3.0,3.0,350.0,300,2,11000.0,Jakarta Selatan,Pasar minggu,Ada,Ada,2.7,1.2,5.7
7900000000,5.0,5.0,264.0,400,2,7700.0,Jakarta Selatan,Pasar minggu,Ada,Tidak Ada,2.3,0.25,3.8
8000000000,13.0,4.0,512.0,550,1,7700.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Ada,1.8,0.35,2.5
5000000000,5.0,1.0,300.0,230,0,4400.0,Jakarta Selatan,Pasar minggu,Ada,Ada,2.8,1.2,2.0
2850000000,3.0,3.0,135.0,200,0,3500.0,Jakarta Selatan,Pasar minggu,Ada,Ada,2.4,1.4,1.8
13000000000,5.0,7.0,471.0,600,6,10000.0,Jakarta Selatan,Pasar minggu,Ada,Ada,2.4,0.8,2.9
7000000000,5.0,2.0,831.0,120,2,3500.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Ada,0.9,1.0,2.0
5650000000,3.0,2.0,654.0,220,4,2200.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,3.0,0.4,1.6
12500000000,5.0,2.0,500.0,300,2,4400.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,1.9,0.45,2.6
40000000000,8.0,8.0,1000.0,1500,10,5500.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,2.2,1.2,3.0
5500000000,5.0,3.0,260.0,300,2,5500.0,Jakarta Selatan,Pasar minggu,Ada,Ada,1.8,1.0,2.5
2850000000,4.0,4.0,118.0,200,2,2200.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,2.7,0.8,2.2
5500000000,4.0,4.0,260.0,263,0,13200.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,2.3,0.75,2.4
8000000000,6.0,6.0,200.0,600,2,4400.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,2.6,0.55,4.3
3950000000,5.0,5.0,194.0,200,2,4400.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,2.0,0.7,4.2
2650000000,4.0,3.0,130.0,180,0,2200.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,1.0,1.7,1.2
3950000000,6.0,5.0,170.0,250,2,4400.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,1.7,3.2,1.4
11500000000,6.0,4.0,436.0,630,2,4400.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Ada,2.8,2.3,4.4
9300000000,6.0,6.0,1040.0,800,3,33000.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,1.2,0.75,2.9
2050000000,3.0,3.0,50.0,95,2,2200.0,Jakarta Selatan,Pasar minggu,Ada,Ada,1.6,0.8,1.8
5400000000,4.0,3.0,138.0,224,2,2200.0,Jakarta Selatan,Pasar minggu,Ada,Tidak Ada,2.1,0.27,1.3
3600000000,5.0,4.0,101.0,220,2,3500.0,Jakarta Selatan,Pasar minggu,Ada,Ada,1.8,0.28,3.0
10000000000,4.0,4.0,371.0,271,2,3500.0,Jakarta Selatan,Pasar minggu,Ada,Ada,3.5,1.0,1.8
6500000000,4.0,4.0,266.0,350,2,7700.0,Jakarta Selatan,Pasar minggu,Ada,Tidak Ada,1.4,0.55,2.6
5900000000,5.0,4.0,464.0,250,0,7700.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,2.1,0.5,2.6
23000000000,5.0,4.0,1402.0,270,3,5500.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,1.8,0.5,1.7
2500000000,4.0,3.0,92.0,92,2,5500.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,1.1,1.5,2.8
1490000000,3.0,1.0,124.0,70,1,2200.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,2.3,0.55,1.7
4200000000,3.0,3.0,98.0,200,0,3300.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,1.4,0.4,4.4
2250000000,3.0,2.0,76.0,142,2,2200.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,2.1,0.9,1.5
9000000000,3.0,3.0,577.0,577,0,3500.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,4.1,0.4,2.2
19000000000,7.0,5.0,1460.0,500,5,4400.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,2.1,0.5,5.1
18000000000,5.0,4.0,893.0,500,0,16000.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,2.1,0.4,5.1
8000000000,3.0,2.0,431.0,237,0,3500.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,2.5,0.5,1.8
2950000000,3.0,3.0,114.0,136,0,4400.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,3.3,0.35,2.4
7000000000,4.0,4.0,323.0,300,3,2200.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Tidak Ada,0.9,0.4,3.1
5800000000,3.0,3.0,184.0,240,0,5500.0,Jakarta Selatan,Pasar minggu,Tidak Ada,Ada,0.9,0.4,3.1
2980000000,5.0,4.0,123.0,200,2,3500.0,Jakarta Selatan,Pasar minggu,Ada,Ada,3.3,0.6,2.4
3500000000,4.0,3.0,200.0,181,2,3500.0,Jakarta Timur,Cakung,Ada,Ada,2.1,1.1,4.7
880000000,2.0,1.0,71.0,50,1,2200.0,Jakarta Timur,Ciracas,Ada,Ada,2.9,0.7,5.9
1390000000,3.0,2.0,75.0,78,1,2200.0,Jakarta Timur,Duren sawit,Ada,Ada,0.75,0.4,6.5
2100000000,3.0,2.0,90.0,120,1,3500.0,Jakarta Timur,Duren sawit,Ada,Ada,2.3,0.23,4.7
4050000000,4.0,4.0,140.0,190,2,3500.0,Jakarta Timur,Cakung,Ada,Ada,3.2,2.1,4.5
3200000000,4.0,3.0,105.0,140,2,3500.0,Jakarta Timur,Cakung,Ada,Ada,3.0,1.6,3.6
3600000000,4.0,4.0,200.0,240,2,4400.0,Jakarta Timur,Cakung,Ada,Ada,1.9,0.85,3.1
2600000000,3.0,3.0,120.0,115,1,2200.0,Jakarta Timur,Cakung,Ada,Ada,4.0,1.1,6.2
1520000000,2.0,2.0,90.0,63,2,2200.0,Jakarta Timur,Cakung,Ada,Ada,4.4,1.5,6.6
2800000000,4.0,4.0,170.0,127,2,2200.0,Jakarta Timur,Cakung,Ada,Ada,5.2,2.3,7.4
2600000000,2.0,3.0,84.0,80,1,3500.0,Jakarta Timur,Cakung,Ada,Ada,3.0,1.4,4.2
3640000000,4.0,4.0,168.0,147,2,3500.0,Jakarta Timur,Cakung,Ada,Ada,3.6,1.7,4.8
3680000000,4.0,3.0,148.0,132,2,3500.0,Jakarta Timur,Cakung,Ada,Ada,4.4,1.4,6.6
1250000000,2.0,2.0,75.0,67,2,1300.0,Jakarta Timur,Cakung,Ada,Ada,4.6,1.7,6.8
1600000000,3.0,2.0,90.0,75,2,4400.0,Jakarta Timur,Cakung,Ada,Ada,5.0,2.1,7.2
3300000000,4.0,4.0,126.0,146,2,3500.0,Jakarta Timur,Cakung,Tidak Ada,Tidak Ada,3.6,1.7,4.8
2200000000,3.0,3.0,120.0,125,1,2200.0,Jakarta Timur,Cakung,Ada,Ada,2.2,0.6,3.7
2500000000,4.0,3.0,105.0,120,1,3500.0,Jakarta Timur,Cakung,Ada,Ada,4.0,1.1,6.2
2650000000,3.0,2.0,235.0,69,2,2200.0,Jakarta Timur,Cakung,Ada,Ada,1.9,0.35,4.2
1880000000,2.0,2.0,102.0,69,1,2200.0,Jakarta Timur,Cakung,Ada,Tidak Ada,4.0,1.1,6.2
3460000000,4.0,3.0,170.0,135,1,3500.0,Jakarta Timur,Cakung,Ada,Tidak Ada,4.0,1.1,6.2
6100000000,4.0,5.0,180.0,208,1,3500.0,Jakarta Timur,Cakung,Ada,Tidak Ada,3.6,0.95,5.6
1850000000,3.0,3.0,96.0,90,2,2200.0,Jakarta Timur,Cakung,Ada,Ada,2.1,0.6,4.5
2700000000,4.0,3.0,153.0,181,1,2200.0,Jakarta Timur,Duren sawit,Ada,Ada,0.4,0.35,4.2
2130000000,2.0,2.0,102.0,69,1,2200.0,Jakarta Timur,Cakung,Ada,Ada,4.0,1.1,6.2
1380000000,2.0,2.0,96.0,120,1,2200.0,Jakarta Timur,Cakung,Ada,Ada,2.1,0.6,4.5
1890000000,3.0,3.0,96.0,100,1,2200.0,Jakarta Timur,Cakung,Ada,Ada,2.0,0.6,4.3
3600000000,4.0,3.0,212.0,250,1,3300.0,Jakarta Timur,Cakung,Ada,Ada,1.9,0.3,3.2
1990000000,3.0,3.0,90.0,92,1,3500.0,Jakarta Timur,Pasar rebo,Ada,Ada,1.4,0.13,2.6
3850000000,3.0,3.0,141.0,200,2,3500.0,Jakarta Timur,Duren sawit,Ada,Ada,1.1,0.17,3.2
1600000000,3.0,2.0,90.0,75,2,2200.0,Jakarta Timur,Cakung,Ada,Ada,5.1,2.2,7.3
1350000000,2.0,2.0,102.0,102,1,2200.0,Jakarta Timur,Cakung,Tidak Ada,Tidak Ada,4.4,1.5,6.6
3000000000,5.0,4.0,130.0,160,2,5500.0,Jakarta Timur,Cipayung,Ada,Ada,1.7,0.35,3.2
5900000000,3.0,4.0,266.0,200,1,4400.0,Jakarta Timur,Jatinegara,Ada,Ada,1.8,0.4,4.7
2100000000,3.0,2.0,84.0,89,2,2200.0,Jakarta Timur,Cakung,Tidak Ada,Tidak Ada,2.8,1.2,5.0
3050000000,4.0,3.0,170.0,126,2,3500.0,Jakarta Timur,Cakung,Ada,Ada,5.2,2.3,7.4
4500000000,4.0,3.0,200.0,450,2,4400.0,Jakarta Timur,Ciracas,Ada,Tidak Ada,3.3,1.1,5.1
3500000000,4.0,3.0,147.0,202,2,2200.0,Jakarta Timur,Duren sawit,Ada,Ada,0.9,0.4,2.1
3150000000,3.0,2.0,180.0,140,2,3500.0,Jakarta Timur,Cakung,Ada,Ada,0.75,0.11,3.7
2500000000,4.0,2.0,200.0,160,1,2200.0,Jakarta Timur,Pasar rebo,Ada,Tidak Ada,2.5,0.13,6.9
4700000000,6.0,5.0,140.0,250,1,3500.0,Jakarta Timur,Duren sawit,Ada,Ada,1.1,0.17,2.1
2300000000,5.0,5.0,120.0,250,2,2200.0,Jakarta Timur,Cakung,Ada,Ada,1.7,1.1,1.6
4500000000,4.0,3.0,220.0,345,5,5500.0,Jakarta Timur,Cakung,Ada,Ada,1.9,0.7,4.4
2400000000,4.0,3.0,160.0,130,2,3500.0,Jakarta Timur,Cakung,Ada,Ada,2.1,0.24,4.5
5000000000,4.0,4.0,308.0,400,2,6600.0,Jakarta Timur,Cakung,Ada,Ada,2.8,0.5,2.7
2870000000,4.0,3.0,170.0,127,1,3500.0,Jakarta Timur,Cakung,Tidak Ada,Tidak Ada,5.2,2.3,7.4
3300000000,4.0,4.0,126.0,146,1,5500.0,Jakarta Timur,Cakung,Ada,Ada,3.6,1.7,4.8
6500000000,6.0,6.0,528.0,700,2,3500.0,Jakarta Timur,Duren sawit,Ada,Ada,1.7,0.55,1.4
4000000000,3.0,3.0,198.0,254,3,4400.0,Jakarta Timur,Cakung,Tidak Ada,Tidak Ada,2.0,0.3,3.2
2650000000,3.0,2.0,84.0,103,1,2200.0,Jakarta Timur,Cakung,Ada,Ada,1.2,0.19,3.6
850000000,2.0,2.0,30.0,50,1,2200.0,Jakarta Timur,Pulo gadung,Ada,Tidak Ada,0.95,1.3,4.2
850000000,3.0,2.0,61.0,60,1,2200.0,Jakarta Timur,Kramat jati,Ada,Tidak Ada,2.9,38.0,3.6
1450000000,3.0,3.0,89.0,100,2,2200.0,Jakarta Timur,Duren sawit,Tidak Ada,Ada,2.0,0.3,2.7
980000000,2.0,2.0,70.0,50,1,1300.0,Jakarta Timur,Cipayung,Ada,Ada,1.3,0.5,0.95
2900000000,4.0,4.0,181.0,181,1,2200.0,Jakarta Timur,Duren sawit,Ada,Tidak Ada,0.75,0.85,2.1
4400000000,5.0,3.0,352.0,250,4,2200.0,Jakarta Timur,Penggilingan,Tidak Ada,Ada,1.0,0.45,1.8
8200000000,5.0,7.0,480.0,720,4,4400.0,Jakarta Timur,Duren sawit,Ada,Ada,0.9,0.28,0.6
3900000000,3.0,4.0,193.0,168,3,4400.0,Jakarta Timur,Duren sawit,Ada,Ada,1.3,0.5,1.9
